"cityid","city","iscity","regionid","provid","isactive","psgc_code"
"314","GERONA","0","5","21","1","036906000"
"315","LA PAZ","0","5","21","1","036907000"
"316","MAYANTOC","0","5","21","1","036908000"
"317","MONCADA","0","5","21","1","036909000"
"318","PANIQUI","0","5","21","1","036910000"
"319","PURA","0","5","21","1","036911000"
"320","RAMOS","0","5","21","1","036912000"
"321","SAN CLEMENTE","0","5","21","1","036913000"
"322","SAN MANUEL","0","5","21","1","036914000"
"323","SANTA IGNACIA","0","5","21","1","036915000"
"324","CITY OF TARLAC (Capital)","1","5","21","1","036916000"
"325","VICTORIA","0","5","21","1","036917000"
"326","SAN JOSE","0","5","21","1","036918000"
"327","BOTOLAN","0","5","22","1","037101000"
"328","CABANGAN","0","5","22","1","037102000"
"329","CANDELARIA","0","5","22","1","037103000"
"330","CASTILLEJOS","0","5","22","1","037104000"
"331","IBA (Capital)","0","5","22","1","037105000"
"332","MASINLOC","0","5","22","1","037106000"
"333","OLONGAPO CITY","1","5","22","1","037107000"
"334","PALAUIG","0","5","22","1","037108000"
"335","SAN ANTONIO","0","5","22","1","037109000"
"336","SAN FELIPE","0","5","22","1","037110000"
"337","SAN MARCELINO","0","5","22","1","037111000"
"338","SAN NARCISO","0","5","22","1","037112000"
"339","SANTA CRUZ","0","5","22","1","037113000"
"340","SUBIC","0","5","22","1","037114000"
"341","BALER (Capital)","0","5","16","1","037701000"
"342","CASIGURAN","0","5","16","1","037702000"
"343","DILASAG","0","5","16","1","037703000"
"344","DINALUNGAN","0","5","16","1","037704000"
"345","DINGALAN","0","5","16","1","037705000"
"346","DIPACULAO","0","5","16","1","037706000"
"347","MARIA AURORA","0","5","16","1","037707000"
"348","SAN LUIS","0","5","16","1","037708000"
"349","AGONCILLO","0","6","23","1","041001000"
"350","ALITAGTAG","0","6","23","1","041002000"
"351","BALAYAN","0","6","23","1","041003000"
"352","BALETE","0","6","23","1","041004000"
"353","BATANGAS CITY (Capital)","1","6","23","1","041005000"
"354","BAUAN","0","6","23","1","041006000"
"355","CALACA","0","6","23","1","041007000"
"356","CALATAGAN","0","6","23","1","041008000"
"357","CUENCA","0","6","23","1","041009000"
"358","IBAAN","0","6","23","1","041010000"
"359","LAUREL","0","6","23","1","041011000"
"360","LEMERY","0","6","23","1","041012000"
"361","LIAN","0","6","23","1","041013000"
"362","LIPA CITY","1","6","23","1","041014000"
"363","LOBO","0","6","23","1","041015000"
"364","MABINI","0","6","23","1","041016000"
"365","MALVAR","0","6","23","1","041017000"
"366","MATAASNAKAHOY","0","6","23","1","041018000"
"367","NASUGBU","0","6","23","1","041019000"
"368","PADRE GARCIA","0","6","23","1","041020000"
"369","ROSARIO","0","6","23","1","041021000"
"370","SAN JOSE","0","6","23","1","041022000"
"371","SAN JUAN","0","6","23","1","041023000"
"372","SAN LUIS","0","6","23","1","041024000"
"373","SAN NICOLAS","0","6","23","1","041025000"
"374","SAN PASCUAL","0","6","23","1","041026000"
"375","SANTA TERESITA","0","6","23","1","041027000"
"376","SANTO TOMAS","0","6","23","1","041028000"
"377","TAAL","0","6","23","1","041029000"
"378","TALISAY","0","6","23","1","041030000"
"379","CITY OF TANAUAN","1","6","23","1","041031000"
"380","TAYSAN","0","6","23","1","041032000"
"381","TINGLOY","0","6","23","1","041033000"
"382","TUY","0","6","23","1","041034000"
"383","ALFONSO","0","6","24","1","042101000"
"384","AMADEO","0","6","24","1","042102000"
"385","BACOOR CITY","1","6","24","1","042103000"
"386","CARMONA","0","6","24","1","042104000"
"387","CAVITE CITY","1","6","24","1","042105000"
"388","CITY OF DASMARI","1","6","24","1","042106000"
"389","GENERAL EMILIO AGUINALDO","0","6","24","1","042107000"
"390","GENERAL TRIAS","0","6","24","1","042108000"
"391","IMUS CITY","1","6","24","1","042109000"
"392","INDANG","0","6","24","1","042110000"
"393","KAWIT","0","6","24","1","042111000"
"394","MAGALLANES","0","6","24","1","042112000"
"395","MARAGONDON","0","6","24","1","042113000"
"396","MENDEZ (MENDEZ-NU","0","6","24","1","042114000"
"397","NAIC","0","6","24","1","042115000"
"398","NOVELETA","0","6","24","1","042116000"
"399","ROSARIO","0","6","24","1","042117000"
"400","SILANG","0","6","24","1","042118000"
"401","TAGAYTAY CITY","1","6","24","1","042119000"
"402","TANZA","0","6","24","1","042120000"
"403","TERNATE","0","6","24","1","042121000"
