article_incident_title,incday,incmo,incyr,case_status,region_psgc,province_psgc,municipality_psgc,city_psgc,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,,
"17 killed in MILF-BIFF conflict  (17 patay sa away tali MILF, BIFF)",11,8,2011,-98,150000000,153800000,153825000,-99,927,5002,124.4279743,7.002127315,,
18 firearms surrendered 1,1,3,2019,-98,150000000,156600000,156605000,-99,2037,5011,121.0236097,5.931300434,,
18 firearms surrendered 2,1,3,2019,-98,150000000,156600000,156602000,-99,2037,5011,121.0037527,6.053626626,,
18 firearms surrendered 3,1,3,2019,-98,150000000,156600000,156613000,-99,2037,5011,121.1096194,5.977793357,,
18 firearms surrendered 4,1,3,2019,-98,150000000,156600000,156604000,-99,2037,5011,121.3278648,5.97328739,,
18 firearms surrendered 5,1,3,2019,-98,150000000,156600000,156614000,-99,2037,5011,120.8855147,5.709815712,,
18 soldiers killed in pursuit of Abu Sayyaf bandits in Basilan,9,4,2016,3,150000000,150700000,150706000,-99,926,5017,122.1429226,6.491034188,,
18-year old bomb maker killed (18-anyos bomb maker napatay),4,7,2020,9,150000000,153800000,153808000,-99,9999,3015,124.4588817,6.856527147,,
2 Abu Sayyaf  bombers  surrender,20,2,2020,-98,150000000,150700000,150710000,-99,2042,3015,122.2757485,6.635366236,,
2 Abu Sayyaf bandit killed in Basilan clash,7,5,2015,3,150000000,150700000,150710000,-99,927,5008,122.275064,6.636416236,,
"2 Abu Sayyaf bandits killed in clash in Patikul, Sulu",17,5,2017,-98,150000000,156600000,156611000,-99,927,5017,121.1022942,6.0630225,,
2 Abu Sayyaf bandits surrender,11,9,2020,4,150000000,156600000,156611000,-99,2042,3015,121.1165229,6.084115221,,
2 Abu sayyaf bandits surrender ,26,2,2019,-98,150000000,156600000,156607000,-99,2042,5017,121.2211817,5.982175631,,
2 Abu Sayyaf camps seized,1,11,2015,3,150000000,156600000,156611000,-99,927,5008,121.0507561,6.025493583,,
2 Abu Sayyaf members surrender in Sulu,25,9,2020,-98,150000000,156600000,156601000,-99,2037,3015,120.9932027,6.017223621,,
2 Abu Sayyaf nabbed in Tawi-Tawi,26,7,2017,3,150000000,157000000,157001000,-99,919,5017,119.8830199,5.091288917,,
2 Abu Sayyaf supporters surrender ,15,4,2019,-98,150000000,150700000,150711000,-99,2042,5017,122.1172876,6.451371618,,
"2 Abus fall in Marawi City, Lanao del Sur",13,5,2013,3,150000000,153600000,-99,153617000,915,5008,124.2793359,8.0072879,,
2 Abus nabbed in foiled bombing,3,3,2016,3,150000000,156600000,156611000,-99,926,5017,121.060688,6.057166063,,
"2 alleged drug pushers arrested (2 pinaniniwalaang tulak, arestado)",22,6,2018,-98,120000000,-99,-99,129804000,2036,8004,124.2541387,7.217705426,,
"2 alleged pushers slain, 4 cops wounded in anti-drug operation",7,8,2017,1,150000000,156600000,156605000,-99,927,8004,121.021999,5.931433005,,
2 apprehended for illegal possession of firearms in Cotabato City (2 nagdala pusil sikpaw) ,3,5,2013,3,120000000,-99,-99,129804000,2037,8008,124.2310439,7.2046668,,
"2 armed families clash in Buldon, Maguindanao (2 ka armadong pamilya nagbinigwasay)",3,2,2015,3,150000000,153800000,153802000,-99,927,3006,124.3952093,7.428878958,,
2 armed groups clash (2 armado grupo naggiyera),27,5,2019,5,150000000,153800000,153810000,-99,927,5002,124.7229068,7.031393711,,
"2 armed groups clash in Brgy. Talitay, Talitay, Maguindanao (2 armadong grupo nagkasagupa sa Maguindanao)",1,6,2013,3,150000000,153800000,153821000,-99,2031,5011,124.3708534,7.030013844,,
